Genus,species,speciesNames,wingspan(inch),wingspan(mm),wingspanMean(mm),forwingLength(mm),source,notes
Iolana,iolas,Iolana iolas,,18.53,18.5,8.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Lasiommata,petropolitana,Lasiommata petropolitana,,21.8,21.8,10,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Lycaena,tityrus,Lycaena tityrus,,23.98,24.0,11,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pseudophilotes,baton,Pseudophilotes baton,,23.98,24.0,11,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Albulina,orbitulus,Albulina orbitulus,,25.07,25.1,11.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Glaucopsyche,alexis,Glaucopsyche alexis,,26.16,26.2,12,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Zizeeria,knysna,Zizeeria knysna,,27.25,27.3,12.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Aricia,nicias,Aricia nicias,,28.34,28.3,13,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Agriades,glandon,Agriades glandon,,29.43,29.4,13.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Maculinea,nausithous,Maculinea nausithous,,30.52,30.5,14,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pseudophilotes,vicrama,Pseudophilotes vicrama,,31.61,31.6,14.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Chilades,trochylus,Chilades trochylus,,33.79,33.8,15.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,pandrose,Erebia pandrose,,33.79,33.8,15.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Hyponephele,lycaon,Hyponephele lycaon,,35.97,36.0,16.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Glaucopsyche,melanops,Glaucopsyche melanops,,38.15,38.2,17.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,alberganus,Erebia alberganus,,38.15,38.2,17.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Brenthis,daphne,Brenthis daphne,,39.24,39.2,18,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Satyrus,ferula,Satyrus ferula,,39.24,39.2,18,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pyronia,cecilia,Pyronia cecilia,,40.33,40.3,18.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Colias,hecla,Colias hecla,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Boloria,pales,Boloria pales,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Coenonympha,dorus,Coenonympha dorus,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Scolitantides,orion,Scolitantides orion,,42.51,42.5,19.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Coenonympha,oedippus,Coenonympha oedippus,,42.51,42.5,19.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Clossiana,thore,Clossiana thore,,43.6,43.6,20,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melitaea,aetherie,Melitaea aetherie,,43.6,43.6,20,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,oeme,Erebia oeme,,43.6,43.6,20,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Lasiommata,maera,Lasiommata maera,,43.6,43.6,20,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,pharte,Erebia pharte,,45.78,45.8,21,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,pronoe,Erebia pronoe,,45.78,45.8,21,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Colias,erate,Colias erate,,46.87,46.9,21.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Clossiana,titania,Clossiana titania,,46.87,46.9,21.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Papilio,alexanor,Papilio alexanor,,47.96,48.0,22,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Boloria,napaea,Boloria napaea,,47.96,48.0,22,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pyronia,bathseba,Pyronia bathseba,,47.96,48.0,22,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Polygonia,egea,Polygonia egea,,49.05,49.1,22.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Hipparchia,fidia,Hipparchia fidia,,49.05,49.1,22.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,meolans,Erebia meolans,,49.05,49.1,22.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Brintesia,circe,Brintesia circe,,50.14,50.1,23,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,tyndarus,Erebia tyndarus,,50.14,50.1,23,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Brenthis,hecate,Brenthis hecate,,51.23,51.2,23.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melanargia,occitanica,Melanargia occitanica,,52.32,52.3,24,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Leptidea,morsei,Leptidea morsei,,54.5,54.5,25,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Hipparchia,statilinus,Hipparchia statilinus,,55.59,55.6,25.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melanargia,lachesis,Melanargia lachesis,,56.68,56.7,26,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Arethusana,arethusa,Arethusana arethusa,,56.68,56.7,26,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melitaea,didyma,Melitaea didyma,,57.77,57.8,26.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melanargia,russiae,Melanargia russiae,,57.77,57.8,26.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Satyrus,actaea,Satyrus actaea,,59.95,60.0,27.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Limenitis,populi,Limenitis populi,,61.04,61.0,28,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Chazara,briseis,Chazara briseis,,61.04,61.0,28,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Melanargia,ines,Melanargia ines,,64.31,64.3,29.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Neptis,rivularis,Neptis rivularis,,67.58,67.6,31,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Minois,dryas,Minois dryas,,75.21,75.2,34.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Zerynthia,polyxena,Zerynthia polyxena,,78.48,78.5,36,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Charaxes,jasius,Charaxes jasius,,81.75,81.8,37.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Agrodiaetus,ripartii,Agrodiaetus ripartii,,86.11,86.1,39.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Callophrys,ferrea,Callophrys ferrea,,27.468-34.226,30.8,12.6-15.7,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Antigius,attilia,Antigius attilia,,29.43-37.278,33.4,13.5-17.1,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Antigius,butleri,Antigius butleri,,34.444-40.112,37.3,15.8-18.4,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Japonica,saepestriata,Japonica saepestriata,,36.406-48.178,42.3,16.7-22.1,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Ussuriana,stygiana,Ussuriana stygiana,,37.06-45.344,41.2,17.0-20.8,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Artopoetes,pryeri,Artopoetes pryeri,,37.496-48.396,42.9,17.2-22.2,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Chrysozephyrus,ataxus,Chrysozephyrus ataxus,,43.382-49.486,46.4,19.9-22.7,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Favonius,cognatus,Favonius cognatus,,43.818-48.396,46.1,20.1-22.2,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Curetis,acuta,Curetis acuta,,43.818-54.5,49.2,20.1-25,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Araschnia,burejana,Araschnia burejana,,44.254-56.244,50.2,20.3-25.8,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pieris,canidia,Pieris canidia,,49.704-70.85,60.3,22.8-32.5,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Neptis,pryeri,Neptis pryeri,,54.936-70.196,62.6,25.2-32.2,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Luehdorfia,puziloi,Luehdorfia puziloi,,60.604-72.594,66.6,27.8-33.3,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Argyronome,laodice,Argyronome laodice,,62.784-80.006,71.4,28.8-36.7,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Luehdorfia,japonica,Luehdorfia japonica,,66.49-75.646,71.1,30.5-34.7,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Argyreus,hyperbius,Argyreus hyperbius,,69.542-89.162,79.4,31.9-40.9,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Neope,bremeri,Neope bremeri,,70.414-78.48,74.4,32.3-36.0,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Sasakia,charonda,Sasakia charonda,,98.536-121.208,109.9,45.2-55.6,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Danaus,plexippus,Danaus plexippus,,99.844-107.256,103.6,45.8-49.2,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Papilio,macilentus,Papilio macilentus,,110.09-138.866,124.5,50.5-63.7,Nakadai-2020,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Coenonympha,arcania,Coenonympha arcania,,37,37.0,,Hamback-2007,
Hamearis,lucina,Hamearis lucina,,31,31.0,,Hamback-2007,
Maniola,jurtina,Maniola jurtina,,41.5,41.5,,Hamback-2007,
Lycaena,phlaeas,Lycaena phlaeas,,26.5,26.5,,Hamback-2007,
Cupido,minimus,Cupido minimus,,23,23.0,,Hamback-2007,
Erebia,medusa,Erebia medusa,,38,38.0,,Hamback-2007,
Araschnia,levana,Araschnia levana,,35.1,35.1,,Kuussaari-2014,
Anthocharis,cardamines,Anthocharis cardamines,,39.5,39.5,,Kuussaari-2014,
Erebia,ligea,Erebia ligea,,41.4,41.4,,Kuussaari-2014,
Aphantopus,hyperantus,Aphantopus hyperantus,,38.9,38.9,,Kuussaari-2014,
Argynnis,aglaja,Argynnis aglaja,,53.1,53.1,,Kuussaari-2014,
Aricia,eumedon,Aricia eumedon,,28.1,28.1,,Kuussaari-2014,
Plebejus,argus,Plebejus argus,,23,23.0,,Kuussaari-2014,
Aricia,artaxerxes,Aricia artaxerxes,,28.1,28.1,,Kuussaari-2014,
Brenthis,ino,Brenthis ino,,37.7,37.7,,Kuussaari-2014,
Parnassius,eversmanni,Parnassius eversmanni,2.5,63.5,63.5,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Melanitis,leda,Melanitis leda,0.85,21.6,21.6,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Asterocampa,leilia,Asterocampa leilia,1.8,45.7,45.7,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Libytheana,carinenta,Libytheana carinenta,1.8,45.7,45.7,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Chlosyne,janais,Chlosyne janais,2.25,57.2,57.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Oeneis,chryxus,Oeneis chryxus,2.25,57.2,57.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Papilio,thoas,Papilio thoas,5,127,127.0,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Leptotes,marina,Leptotes marina,.85-1.05,21.6-26.7,24.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Nathalis,iole,Nathalis iole,1.00-1.25,25.4-31.8,28.6,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Phyciodes,phaon,Phyciodes phaon,1.00-1.30,25.4-33.0,29.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Lycaeides,melissa,Lycaeides melissa,1.20-1.25,30.5-31.8,31.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Phyciodes,tharos,Phyciodes tharos,1.3-1.7,33.0-43.2,38.1,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Anthanassa,frisia,Anthanassa frisia,1.40-1.50,35.6-38.0,36.8,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Euchloe,ausonides,Euchloe ausonides,1.50-1.90,38.0-48.3,43.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Cercyonis,oetus,Cercyonis oetus,1.5-1.6,38.0-40.6,39.3,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Anartia,jatrophae,Anartia jatrophae,1.5-2.0,38.0-50.8,44.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Colias,philodice,Colias philodice,1.5-2.00,38.0-50.8,44.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Pontia,beckerii,Pontia beckerii,1.65-2.00,41.9-50.8,46.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Oeneis,jutta,Oeneis jutta,1.65-2.15,41.9-54.6,48.3,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Kricogonia,lyside,Kricogonia lyside,1.70-2.00,43.2-50.8,47.0,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Pontia,occidentalis,Pontia occidentalis,1.7-2.0,43.2-50.8,47.0,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Hypanartia,lethe,Hypanartia lethe,1.72-2.00,43.7-50.8,47.3,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Junonia,coenia,Junonia coenia,1.75-2.2,44.5-55.9,50.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Polygonia,zephyrus,Polygonia zephyrus,1.8-2.0,45.7-50.8,48.3,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Euptoieta,hegesia,Euptoieta hegesia,1.85-2.25,47.0-57.2,52.1,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Phoebis,sennae,Phoebis sennae,2.00-2.75,50.8-69.9,60.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Colias,eurytheme,Colias eurytheme,2.3-2.5,58.4-63.5,61.0,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Speyeria,atlantis,Speyeria atlantis,2.4-2.65,61.0-67.3,64.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Cercyonis,pegala,Cercyonis pegala,2.4-3.0,61.0-76.2,68.6,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Ascia,monuste,Ascia monuste,2.5-3.0,63.5-76.2,69.9,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Hypolimnas,misippus,Hypolimnas misippus,2.60-2.70,66.0-68.6,67.3,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Agraulis,vanillae,Agraulis vanillae,2.75-3.40,69.9-86.4,78.2,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Phoebis,philea,Phoebis philea,3.00-3.25,76.2-86.9,81.6,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Papilio,rutulus,Papilio rutulus,3.5-4.25,88.9-108.0,98.5,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Battus,philenor,Battus philenor,3.55-3.80,90.2-96.5,93.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Papilio,pilumnus,Papilio pilumnus,3.80-4.50,96.5-114.3,105.4,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Papilio,palamedes,Papilio palamedes,3.90-4.75,99.1-120.7,109.9,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Papilio,cresphontes,Papilio cresphontes,5.35-5.50,135.9-139.7,137.8,,"Maynard, C. J. (1891). A manual of North American butterflies. De Wolfe, Fiske & Company.",
Coenonympha,pamphilus,Coenonympha pamphilus,,27-33,30.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Polyommatus,icarus,Polyommatus icarus,,27-35,31.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Celastrina,argiolus,Celastrina argiolus,,30-35,32.5,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Satyrium,pruni,Satyrium pruni,,31-36,33.5,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Erebia,epiphron,Erebia epiphron,,31-38,34.5,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Leptidea,sinapis,Leptidea sinapis,,35-41,38.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Pieris,napi,Pieris napi,,37-48,42.5,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Boloria,euphrosyne,Boloria euphrosyne,,38-45,41.5,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Colias,hyale,Colias hyale,,40-52,46.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Erebia,aethiops,Erebia aethiops,,42-48,45.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Pararge,aegeria,Pararge aegeria,,42-50,46.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Issoria,lathonia,Issoria lathonia,,42-52,47.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Melanargia,galathea,Melanargia galathea,,44-52,48.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Pieris,rapae,Pieris rapae,,46-54,50.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
Hipparchia,semele,Hipparchia semele,,48-64,56.0,,"Meyrick, E. (1895). A handbook of British Lepidoptera. Macmillan and Company.",
